drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024DR,023TR,FID,display,P23_04,RH,4,243,60,77.34930234,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025DR,023TR,FID,display,P23_04,RH,4,193,60,61.43380803,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023DR,023TR,FID,display,P23_05,FSS,15,,50,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024DR,023TR,FID,display,P23_05,FSS,15,,50,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026DR,024TR,ALF,display,P24_01,CMI,7,,61,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027DR,024TR,DAU,display,P24_01,CMI,7,,61,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028DR,024TR,MAC,display,P24_01,CMI,7,,61,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029DR,024TR,ALF,display,P24_01,CMI,7,,61,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026DR,024TR,ALF,display,P24_02,CYA,6,208,57,66.20845633,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027DR,024TR,DAU,display,P24_02,CYA,6,208,57,66.20845633,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028DR,024TR,MAC,display,P24_02,CYA,6,208,57,66.20845633,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029DR,024TR,ALF,display,P24_02,CYA,6,208,57,66.20845633,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026DR,024TR,ALF,display,P24_03,UNK,2,86,28,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027DR,024TR,DAU,display,P24_03,UNK,2,86,28,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028DR,024TR,MAC,display,P24_03,UNK,2,86,28,27.37465021,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
